hydrogen_node,attached_heavy,attached_heavy_element,hydrogen_role,end,angle_1_deg,angle_2_deg,minimum_angle_deg,maximum_angle_deg,violation_count,coordinate_modified_in_Gate3P2
H4:LOWER:0187:0,S:1707,N,SEED_PASSIVANT_H,LOWER,90.59183177313324,70.026550401034,70.026550401034,90.59183177313324,0,False
H4:LOWER:0188:0,S:1709,N,SEED_PASSIVANT_H,LOWER,73.1258577473505,78.10200066297367,73.1258577473505,78.10200066297367,0,False
H4:UPPER:0027:0,A:UPPER:-10:-6,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,97.99689981804329,70.9121132389124,70.9121132389124,97.99689981804329,0,False
H4:UPPER:0028:0,A:UPPER:-10:6,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,71.50997688068823,111.61879368380944,71.50997688068823,111.61879368380944,0,False
H4:UPPER:0029:0,A:UPPER:-13:-5,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,72.77387288105962,70.24606545786719,70.24606545786719,72.77387288105962,0,False
H4:UPPER:0030:0,A:UPPER:-13:5,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,70.9121132389123,100.83017396661943,70.9121132389123,100.83017396661943,0,False
H4:UPPER:0031:0,A:UPPER:-1:-9,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,72.77387288105962,70.24606545786719,70.24606545786719,72.77387288105962,0,False
H4:UPPER:0032:0,A:UPPER:-1:9,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,70.39716034715202,103.45126753476477,70.39716034715202,103.45126753476477,0,False
H4:UPPER:0033:0,A:UPPER:-2:-4,N,ANNULUS_INNER_PASSIVANT_H,UPPER,76.59231236836276,98.13089991195919,76.59231236836276,98.13089991195919,0,False
H4:UPPER:0034:0,A:UPPER:-2:4,N,ANNULUS_INNER_PASSIVANT_H,UPPER,98.83574429489832,80.75617489317638,80.75617489317638,98.83574429489832,0,False
H4:UPPER:0035:0,A:UPPER:-4:-8,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,78.10280745340638,94.0999629252719,78.10280745340638,94.0999629252719,0,False
H4:UPPER:0036:0,A:UPPER:-4:8,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,121.45701215732608,71.4129206591538,71.4129206591538,121.45701215732608,0,False
H4:UPPER:0037:0,A:UPPER:-5:-3,N,ANNULUS_INNER_PASSIVANT_H,UPPER,75.6981143445757,93.8060359435461,75.6981143445757,93.8060359435461,0,False
H4:UPPER:0038:0,A:UPPER:-5:3,N,ANNULUS_INNER_PASSIVANT_H,UPPER,85.90003707472826,82.26107257976038,82.26107257976038,85.90003707472826,0,False
H4:UPPER:0039:0,A:UPPER:-7:-1,B,ANNULUS_INNER_PASSIVANT_H,UPPER,74.77203927741904,93.3549760193952,74.77203927741904,93.3549760193952,0,False
H4:UPPER:0040:0,A:UPPER:-7:-7,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,77.85999513060247,82.51057162855213,77.85999513060247,82.51057162855213,0,False
H4:UPPER:0041:0,A:UPPER:-7:1,B,ANNULUS_INNER_PASSIVANT_H,UPPER,79.62916764371002,96.34234091492675,79.62916764371002,96.34234091492675,0,False
H4:UPPER:0042:0,A:UPPER:-7:7,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,75.4808768618649,79.46431082956624,75.4808768618649,79.46431082956624,0,False
H4:UPPER:0043:0,A:UPPER:14:-2,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,138.6656264236889,71.7580195368834,71.7580195368834,138.6656264236889,0,False
H4:UPPER:0044:0,A:UPPER:14:-4,B,ANNULUS_OUTER_PASSIVANT_H,UPPER,71.9284798588802,108.10674531184951,71.9284798588802,108.10674531184951,0,False
