lower_H,upper_H,hydrogen_role,lower_attached_heavy,upper_attached_heavy,pair_status,symmetry_deviation_nm,lower_x_nm,lower_y_nm,lower_z_nm,upper_x_nm,upper_y_nm,upper_z_nm,transformed_lower_x_nm,transformed_lower_y_nm,transformed_lower_z_nm,candidate_count
H4:LOWER:0055:0,H4:UPPER:0115:0,BRIDGE_PASSIVANT_H,BR4:LOWER:00:2,BR4:UPPER:00:2,UNIQUE,0.6709066358094137,4.220586528775785,2.3971681226031127,1.910219184196769,3.945900074691974,2.4462158406793755,8.346340171869569,4.589096358762152,2.61785385821047,8.429734686493827,
H4:LOWER:0056:0,H4:UPPER:0116:0,BRIDGE_PASSIVANT_H,BR4:LOWER:00:3,BR4:UPPER:00:3,UNIQUE,0.8675191526110766,4.25088882578268,2.422239970237137,1.6474390338170173,3.8222962012443378,2.292419735650807,8.164780161504837,4.611788931654619,2.6519817153414844,8.167207410416752,
H4:LOWER:0057:0,H4:UPPER:0117:0,BRIDGE_PASSIVANT_H,BR4:LOWER:00:4,BR4:UPPER:00:4,UNIQUE,1.1941240433013858,4.4249314371272765,2.62872081924657,1.6475256871446091,3.670263965783308,2.358445688847851,8.36969418327875,4.714501177325943,2.9017270642224755,8.168830488223698,
H4:LOWER:0058:0,H4:UPPER:0118:0,BRIDGE_PASSIVANT_H,BR4:LOWER:01:1,BR4:UPPER:01:1,UNIQUE,0.41962893123538075,4.489695793628241,2.600736975803505,1.9700215503258114,4.59495972682923,2.6995748003996605,8.17056597912078,4.782887657745613,2.8936124767915237,8.491690429843054,
H4:LOWER:0059:0,H4:UPPER:0119:0,BRIDGE_PASSIVANT_H,BR4:LOWER:01:2,BR4:UPPER:01:2,UNIQUE,0.30951872819611154,4.673938305452071,2.6153900929085463,1.7700243944514504,4.6907762573968,2.8217564369466004,8.367743186978876,4.954996345181499,2.9645616705134223,8.292935075245522,
H4:LOWER:0060:0,H4:UPPER:0120:0,BRIDGE_PASSIVANT_H,BR4:LOWER:01:3,BR4:UPPER:01:3,UNIQUE,0.35609452933932334,4.7608994724053275,2.8631701829240734,1.7181213391680816,4.87052220351062,2.8834621557465403,8.229683272403816,4.962473255557526,3.2272567357316335,8.242077005728957,
H4:LOWER:0061:0,H4:UPPER:0121:0,BRIDGE_PASSIVANT_H,BR4:LOWER:01:4,BR4:UPPER:01:4,UNIQUE,0.2843078882660013,4.505231427294835,2.9038079934932712,1.602685155616623,4.8331903061735755,3.077039629505315,8.354344294768731,4.707260203616861,3.1883661342278797,8.12504319589089,
H4:LOWER:0062:0,H4:UPPER:0122:0,BRIDGE_PASSIVANT_H,BR4:LOWER:02:1,BR4:UPPER:02:1,UNIQUE,0.4573002481318226,4.90065675937019,2.96325295236327,1.9685958937954098,4.9394028385397775,3.1653329719341956,8.101062325582674,5.063592607727358,3.3642606007652542,8.493653992150133,
H4:LOWER:0063:0,H4:UPPER:0123:0,BRIDGE_PASSIVANT_H,BR4:LOWER:02:2,BR4:UPPER:02:2,UNIQUE,0.32981736520212585,4.988393825370472,3.1156205039678433,1.759435790529261,5.0080347321045915,3.2227208330876556,8.320773252036117,5.101821317288921,3.5369339143029075,8.285365478573889,
H4:LOWER:0064:0,H4:UPPER:0124:0,BRIDGE_PASSIVANT_H,BR4:LOWER:02:3,BR4:UPPER:02:3,UNIQUE,0.35535268648841495,4.844196928273114,3.12123222929373,1.53600806319604,4.973118503917786,3.4358828586851478,8.410570273434802,4.964060985574858,3.499122488537611,8.061007342945706,
H4:LOWER:0065:0,H4:UPPER:0125:0,BRIDGE_PASSIVANT_H,BR4:LOWER:02:4,BR4:UPPER:02:4,UNIQUE,0.30026882302208363,4.597243628383559,3.1847201526640925,1.59871771904381,4.728793208149781,3.487016922774141,8.421827002262555,4.709162834809563,3.483970623369795,8.122216030197896,
H4:LOWER:0066:0,H4:UPPER:0126:0,BRIDGE_PASSIVANT_H,BR4:LOWER:03:1,BR4:UPPER:03:1,UNIQUE,0.3174001629540714,5.001053540423048,3.458179695051199,1.8726047315202623,5.074766449623661,3.709795471531685,8.131323393707381,5.008679655963844,3.866577547067757,8.399268873119961,
H4:LOWER:0067:0,H4:UPPER:0127:0,BRIDGE_PASSIVANT_H,BR4:LOWER:03:2,BR4:UPPER:03:2,UNIQUE,0.35977864506069,5.027209415861075,3.532432339101708,1.6243242741645214,5.0836100375177296,3.673825408402324,8.375276334210415,5.012330629048648,3.9462183986292168,8.151307634957025,
