end,bridge_atoms_per_attachment,seed_element,bridge_element_sequence,required_annulus_element,seed_parity,orientation,rotation_index,chirality,annulus_center_offset_nm,lateral_distance_minimum_nm,lateral_distance_mean_nm,lateral_distance_maximum_nm,bridge_envelope_minimum_nm,bridge_envelope_maximum_nm,gap_feasible,feasible_gap_minimum_nm,feasible_gap_maximum_nm,selected_gap_nm,selected_distance_minimum_nm,selected_distance_maximum_nm,maximum_envelope_violation_nm,mean_envelope_violation_nm,annulus_center_pass,mapping_geometrically_feasible
LOWER,1,N,B,N,1,1,2,1,9.700230347366346e-16,0.17739168945385844,0.31019718947003005,0.44136097929737106,0.23002962760408247,0.26787517493351753,False,,,0.1068,0.20717074718865675,0.4540385766022664,0.18616340166874884,0.07895571218856266,True,False
LOWER,1,N,B,N,1,1,2,-1,9.31098873416313e-16,0.3842159657644594,1.4658952007563253,2.3223626614491284,0.23002962760408247,0.26787517493351753,False,,,0.05,0.387421717766716,2.3229099639415214,2.055034789008004,1.1992206892352908,True,False
LOWER,1,N,B,N,1,1,3,1,1.0679379016801153e-15,0.1776669779868461,0.31026427536995,0.44121841992711186,0.23002962760408247,0.26787517493351753,False,,,0.10669999999999999,0.2069854843143526,0.4540361200113322,0.18616094507781467,0.07893434133048037,True,False
LOWER,1,N,B,N,1,1,3,-1,9.107666839719397e-16,0.17936519024039727,1.4705601488433009,2.3093601127908276,0.23002962760408247,0.26787517493351753,False,,,0.05,0.18618175111901558,2.309900471268216,2.0420252963346983,1.212386484441036,True,False
LOWER,1,N,B,N,1,1,4,1,9.46373979117291e-16,0.1778254910700949,0.31023507054564164,0.44112425361508384,0.23002962760408247,0.26787517493351753,False,,,0.106,0.20677589005866717,0.45367195792784604,0.1857967829943285,0.07889943803410361,True,False
LOWER,1,N,B,N,1,1,4,-1,8.874034055919623e-16,0.2619890372281411,1.4571439944770619,2.3109465997981196,0.23002962760408247,0.26787517493351753,False,,,0.05,0.2667021346136874,2.311496605319638,2.0436214303861204,1.1906655551738425,True,False
LOWER,1,N,B,N,1,1,5,1,7.208479860287768e-16,0.1776796226897143,0.31015807543622714,0.44128835316923987,0.23002962760408247,0.26787517493351753,False,,,0.1069,0.20733843250312428,0.454032403643664,0.18615722871014645,0.07884341752509043,True,False
LOWER,1,N,B,N,1,1,5,-1,9.828042232969033e-16,0.07096491020203953,1.4310818118105504,2.2485350589576516,0.23002962760408247,0.26787517493351753,False,,,0.13429999999999997,0.15236588107797147,2.2525280168973256,1.984652841963808,1.19263484674745,True,False
LOWER,1,N,B,N,1,1,6,1,1.059138137224454e-15,0.17752240789480583,0.31008822764679367,0.4412155122932169,0.23002962760408247,0.26787517493351753,False,,,0.106,0.20680639183264146,0.453714313425333,0.1858391384918155,0.0788475269819685,True,False
LOWER,1,N,B,N,1,1,6,-1,9.681059011155535e-16,0.3337095808302051,1.462891786705865,2.319011923534149,0.23002962760408247,0.26787517493351753,False,,,0.05,0.3374287198116556,2.319545723617765,2.0516705486842475,1.1962490719725374,True,False
LOWER,1,N,B,N,1,1,7,1,1.0260281598775634e-15,0.1773916894538582,0.31019718947003,0.4413609792973709,0.23002962760408247,0.26787517493351753,False,,,0.1068,0.2071707471886564,0.45403857660226676,0.18616340166874923,0.07895571218856275,True,False
LOWER,1,N,B,N,1,1,7,-1,1.0415459951315566e-15,0.3842159657582409,1.4658952007560058,2.322362661448801,0.23002962760408247,0.26787517493351753,False,,,0.05,0.387421717760549,2.322909963941194,2.0550347890076766,1.1992206892349733,True,False
LOWER,1,N,B,N,1,1,8,1,1.0033603344114714e-15,0.1776669779868466,0.31026427536995016,0.4412184199271121,0.23002962760408247,0.26787517493351753,False,,,0.10669999999999999,0.20698548431435304,0.4540361200113324,0.1861609450778149,0.07893434133048033,True,False
