radius_nm,lower_energy_kJ_mol,lower_energy_kBT,upper_energy_kJ_mol,upper_energy_kBT
0.34800000000000003,0.7667463438127105,0.3073946283025146,0.7667463438127105,0.3073946283025146
0.34900000000000003,0.7949084818512511,0.31868505051896,0.7949084818512511,0.31868505051896
0.35000000000000003,0.8241299169869735,0.33040015325729866,0.8241299169869735,0.33040015325729866
0.35100000000000003,0.854451485963475,0.342556308288613,0.854451485963475,0.342556308288613
0.352,0.8859156843325726,0.3551705524132226,0.8859156843325726,0.3551705524132226
0.353,0.9185667428102583,0.36826061807238597,0.9185667428102583,0.36826061807238597
0.354,0.9524507080138286,0.38184496571644994,0.9524507080138286,0.38184496571644994
0.355,0.987615527898865,0.39594281805720527,0.987615527898865,0.39594281805720527
0.356,1.024111142242886,0.41057419634349357,1.024111142242886,0.41057419634349357
0.357,1.061989578550323,0.4257599588102648,1.061989578550323,0.4257599588102648
0.358,1.1013050537873101,0.44152184146485285,1.1013050537873101,0.44152184146485285
0.359,1.1421140823888354,0.4578825013878909,1.1421140823888354,0.4578825013878909
0.36,1.1844755910190112,0.47486556274160424,1.1844755910190112,0.47486556274160424
0.361,1.2284510406079605,0.49249566569535624,1.2284510406079605,0.49249566569535624
0.362,1.274104556233494,0.5107985184962323,1.274104556233494,0.5107985184962323
0.363,1.3215030654653988,0.5298009529323509,1.3215030654653988,0.5298009529323509
0.364,1.3707164458455254,0.5495309834587886,1.3707164458455254,0.5495309834587886
0.365,1.4218176822351922,0.5700178702793895,1.4218176822351922,0.5700178702793895
0.366,1.4748830348259183,0.5912921867035871,1.4748830348259183,0.5912921867035871
0.367,1.5299922186819002,0.6133858911263921,1.5299922186819002,0.6133858911263921
0.368,1.5872285957573167,0.6363324040096382,1.5872285957573167,0.6363324040096382
0.369,1.64667938041849,0.6601666902774292,1.64667938041849,0.6601666902774292
0.37,1.7084358595915377,0.6849253475750608,1.7084358595915377,0.6849253475750608
0.371,1.7725936287567807,0.7106467008810321,1.7725936287567807,0.7106467008810321
0.372,1.8392528451232488,0.7373709040066913,1.8392528451232488,0.7373709040066913
0.373,1.9085184994340798,0.7651400485651546,1.9085184994340798,0.7651400485651546
0.374,1.980500707988292,0.793998281045127,1.980500707988292,0.793998281045127
0.375,2.055315026606642,0.8239919286822798,2.055315026606642,0.8239919286822798
0.376,2.1330827884266745,0.8551696348839368,2.1330827884266745,0.8551696348839368
0.377,2.2139314675863475,0.8875825050326956,2.2139314675863475,0.8875825050326956
0.378,2.297995071042699,0.9212842635696065,2.297995071042699,0.9212842635696065
0.379,2.3854145609784245,0.9563314233402851,2.3854145609784245,0.9563314233402851
0.38,2.476338310477559,0.992783468278871,2.476338310477559,0.992783468278871
0.381,2.5709225953973798,1.0307030506033346,2.5709225953973798,1.0307030506033346
0.382,2.669332125634935,1.0701562038043984,2.669332125634935,1.0701562038043984
0.383,2.771740619287098,1.1112125728308107,2.771740619287098,1.1112125728308107
0.384,2.87833142352472,1.1539456630026672,2.87833142352472,1.1539456630026672
0.385,2.9892981863638175,1.1984331093297536,2.9892981863638175,1.1984331093297536
0.386,3.104845583906146,1.2447569680680002,3.104845583906146,1.2447569680680002
0.387,3.2251901080518803,1.293004032519679,3.2251901080518803,1.293004032519679
0.388,3.3505609201631597,1.3432661752738213,3.3505609201631597,1.3432661752738213
0.389,3.481200776670558,1.3956407192891165,3.481200776670558,1.3956407192891165
0.39,3.6173670331900616,1.4502308404522921,3.6173670331900616,1.4502308404522921
0.391,3.75933273434071,1.50714600449456,3.75933273434071,1.50714600449456
0.392,3.907387797141028,1.566502441424536,3.907387797141028,1.566502441424536
0.393,4.061840296622362,1.6284236609407212,4.061840296622362,1.6284236609407212
0.394,4.223017863126544,1.6930410126190998,4.223017863126544,1.6930410126190998
0.395,4.391269201670649,1.7604942950384015,4.391269201670649,1.7604942950384015
0.396,4.566965744773853,1.8309324184113618,4.566965744773853,1.8309324184113618
0.397,4.750503451248024,1.9045141257339924,4.750503451248024,1.9045141257339924
0.398,4.942304764676625,1.9814087779551453,4.942304764676625,1.9814087779551453
0.399,5.142820746660497,2.0617972092114956,5.142820746660497,2.0617972092114956
0.4,5.352533401387326,2.1458726587656884,5.352533401387326,2.1458726587656884
0.401,5.571958209730943,2.2338417869466403,5.571958209730943,2.2338417869466403
0.402,5.801646892891703,2.325925783114664,5.801646892891703,2.325925783114664
0.403,6.04219042758792,2.4223615744753833,6.04219042758792,2.4223615744753833
0.404,6.29422233702451,2.5234031454548957,6.29422233702451,2.5234031454548957
0.405,6.558422284295269,2.6293229783229566,6.558422284295269,2.6293229783229566
0.406,6.835519997586772,2.7404136268380332,6.835519997586772,2.7404136268380332
0.40700000000000003,7.126299559532239,2.8569894358829453,7.126299559532239,2.8569894358829453
0.40800000000000003,7.431604096370232,2.9793884213853925,7.431604096370232,2.9793884213853925
0.40900000000000003,7.752340906232851,3.107974326288953,7.752340906232851,3.107974326288953
0.41000000000000003,8.089487069940963,3.243138869964937,8.089487069940963,3.243138869964937
0.41100000000000003,8.444095592183567,3.3853042102593998,8.444095592183567,3.3853042102593998
0.41200000000000003,8.817302125959221,3.5349256393745017,8.817302125959221,3.5349256393745017
0.41300000000000003,9.210332338692131,3.6924945370022706,9.210332338692131,3.6924945370022706
0.41400000000000003,9.624509984588713,3.8585416065957174,9.624509984588713,3.8585416065957174
0.41500000000000004,10.061265754652432,4.033640423409261,10.061265754652432,4.033640423409261
0.41600000000000004,10.522146983360054,4.21841132598143,10.522146983360054,4.21841132598143
0.417,11.00882829948219,4.413525686132439,11.00882829948219,4.413525686132439
0.418,11.523123317936575,4.619710596319943,11.523123317936575,4.619710596319943
0.419,12.066997480050459,4.83775401740103,12.066997480050459,4.83775401740103
0.42,12.642582161315575,5.068510434541938,12.642582161315575,5.068510434541938
0.421,13.252190178731302,5.31290707423366,13.252190178731302,5.31290707423366
0.422,13.89833284440481,5.57195074121412,13.89833284440481,5.57195074121412
0.423,14.5837387283051,5.84673534060355,14.5837387283051,5.84673534060355
0.424,15.31137431121412,6.138450157834732,15.31137431121412,6.138450157834732
0.425,16.084466729223617,6.448388977100324,16.084466729223617,6.448388977100324
0.426,16.906528833808856,6.777960128133145,16.906528833808856,6.777960128133145
0.427,17.78138681691473,7.128697561320054,17.78138681691473,7.128697561320054
0.428,18.713210678975347,7.502273062570184,18.713210678975347,7.502273062570184
0.429,19.7065478496491,7.900509732131552,19.7065478496491,7.900509732131552
0.43,20.76636030687253,8.325396865911154,20.76636030687253,8.325396865911154
0.431,21.89806557997157,8.77910639394413,21.89806557997157,8.77910639394413
0.432,23.107582067671455,9.264011048739702,23.107582067671455,9.264011048739702
0.433,24.401379152570176,9.782704456566979,24.401379152570176,9.782704456566979
0.434,25.786532650635277,10.338023367593511,25.786532650635277,10.338023367593511
0.435,27.27078619845378,10.933072266515687,27.27078619845378,10.933072266515687
0.436,28.862619253290177,11.571250634315788,28.862619253290177,11.571250634315788
0.437,30.57132246241086,12.256283164415814,30.57132246241086,12.256283164415814
0.438,32.40708125009705,12.99225327336714,32.40708125009705,12.99225327336714
0.439,34.38106857445352,13.783640287783282,34.38106857445352,13.783640287783282
0.44,36.50554792328749,14.635360736196276,36.50554792328749,14.635360736196276
0.441,38.79398775083832,15.55281422763997,38.79398775083832,15.55281422763997
0.442,41.261188706952765,16.541934458825136,41.261188706952765,16.541934458825136
0.443,43.92342517995488,17.609245959787152,43.92342517995488,17.609245959787152
0.444,46.798602866782865,18.761927264990817,46.798602866782865,18.761927264990817
0.445,49.90643430184584,20.007881284226947,49.90643430184584,20.007881284226947
0.446,53.2686345235831,21.355813746872002,53.2686345235831,21.355813746872002
0.447,56.909139338634716,22.81532070570747,56.909139338634716,22.81532070570747
0.448,60.85434896294517,24.39698621455096,60.85434896294517,24.39698621455096
0.449,65.13340018260259,26.112491439673114,65.13340018260259,26.112491439673114
0.45,69.77847059091896,27.974736630831405,69.77847059091896,27.974736630831405
0.451,74.82511892976267,29.997977566782055,74.82511892976267,29.997977566782055
0.452,80.31266610112043,32.19797830580621,80.31266610112043,32.19797830580621
0.453,86.28462202859323,34.59218231783461,86.28462202859323,34.59218231783461
0.454,92.78916425025163,37.19990435608029,92.78916425025163,37.19990435608029
0.455,99.87967492635416,40.042545747648425,99.87967492635416,40.042545747648425
0.456,107.61534386365854,43.14383615071662,107.61534386365854,43.14383615071662
0.457,116.06184621024462,46.53010524770936,116.06184621024462,46.53010524770936
0.458,125.2921046810444,50.23058832749656,125.2921046810444,50.23058832749656
0.459,135.38714755899647,54.277770264791876,135.38714755899647,54.277770264791876
0.46,146.4370753080465,58.7077730428926,146.4370753080465,58.7077730428926
0.461,158.54215046352357,63.560792699287326,158.54215046352357,63.560792699287326
0.462,171.8140275722676,68.8815924183083,171.8140275722676,68.8815924183083
0.463,186.37714238186948,74.72005946800303,186.37714238186948,74.72005946800303
0.464,202.37028227818877,81.13183480086336,202.37028227818877,81.13183480086336
0.465,219.94836320361242,88.17902543430444,219.94836320361242,88.17902543430444
0.466,239.284442025202,95.9310112248523,239.284442025202,95.9310112248523
0.467,260.5719976458556,104.46535938351573,260.5719976458556,104.46535938351573
0.468,284.0275191610834,113.86886208815497,284.0275191610834,113.86886208815497
0.46900000000000003,309.8934451714276,124.23871487690496,309.8934451714276,124.23871487690496
0.47000000000000003,338.44150510446923,135.68385621039766,338.44150510446923,135.68385621039766
0.47100000000000003,369.9765212364912,148.3264917320931,369.9765212364912,148.3264917320931
0.47200000000000003,404.840739221963,162.30383041154533,404.840739221963,162.30383041154533
0.47300000000000003,443.4187655613614,177.77006401401118,443.4187655613614,177.77006401401118
0.47400000000000003,486.1432028246455,194.89862630577912,486.1432028246455,194.89862630577912
0.47500000000000003,533.5010879114537,213.8847742032232,533.5010879114537,213.8847742032232
0.47600000000000003,586.0412555395865,234.94853985314026,586.0412555395865,234.94853985314026
0.47700000000000004,644.3827689433248,258.33811056588814,644.3827689433248,258.33811056588814
0.47800000000000004,709.2245829606101,284.33370282289263,709.2245829606101,284.33370282289263
0.47900000000000004,781.3566319053165,313.2520074916827,781.3566319053165,313.2520074916827
0.48,861.6725666010561,345.4512962027307,861.6725666010561,345.4512962027307
0.481,951.1844025804086,381.3372939275138,951.1844025804086,381.3372939275138
0.482,1051.0393857751992,421.36994056614486,1051.0393857751992,421.36994056614486
0.483,1162.539434316031,466.0711853174252,1162.539434316031,466.0711853174252
0.484,1287.1635768258707,516.0339823668876,1287.1635768258707,516.0339823668876
0.485,1426.5938806612764,571.9326857222445,1426.5938806612764,571.9326857222445
0.486,1582.7454501184134,634.5350757296701,1582.7454501184134,634.5350757296701
0.487,1757.801177310458,704.7162909733507,1757.801177310458,704.7162909733507
0.488,1954.2520504306972,783.4749881745871,1954.2520504306972,783.4749881745871
0.489,2174.9439692964443,871.9521109108592,2174.9439692964443,871.9521109108592
0.49,2423.1321910736883,971.4527173342443,2423.1321910736883,971.4527173342443
0.491,2702.544735576132,1083.4713998535424,2702.544735576132,1083.4713998535424
0.492,3017.4563263943865,1209.7219287134183,3017.4563263943865,1209.7219287134183
0.493,3372.7747396759614,1352.1718698981504,3372.7747396759614,1352.1718698981504
0.494,3774.1417868853755,1513.0830699128878,3774.1417868853755,1513.0830699128878
0.495,4228.051583737327,1695.0590707273861,4228.051583737327,1695.0590707273861
0.496,4741.9892699796765,1901.1007236259763,4741.9892699796765,1901.1007236259763
0.497,5324.593962505049,2134.671518389209,5324.593962505049,2134.671518389209
0.498,5985.850470288476,2399.774443317347,5985.850470288476,2399.774443317347
0.499,6737.315202211668,2701.0425534505243,6737.315202211668,2701.0425534505243
0.5,7592.38279269383,3043.8458628771873,7592.38279269383,3043.8458628771873
0.501,8566.601298290996,3434.417709525108,8566.601298290996,3434.417709525108
0.502,9678.045434357824,3880.0043886690596,9678.045434357824,3880.0043886690596
0.503,10947.759290555932,4389.042641053486,10947.759290555932,4389.042641053486
0.504,12400.282369706592,4971.370545998025,12400.282369706592,4971.370545998025
0.505,14064.275738717415,5638.478550219396,14064.275738717415,5638.478550219396
0.506,15973.268690949764,6403.808810635899,15973.268690949764,6403.808810635899
0.507,18166.550756691828,7283.112808368476,18166.550756691828,7283.112808368476
0.508,20690.23936342847,8294.879382124183,20690.23936342847,8294.879382124183
0.509,23598.560192920104,9460.848033400094,23598.560192920104,9460.848033400094
0.51,26955.385626761272,10806.625701384753,26955.385626761272,10806.625701384753
0.511,30836.087018541104,12362.429353407902,30836.087018541104,12362.429353407902
0.512,35329.76938950105,14163.98189197235,35329.76938950105,14163.98189197235
0.513,40541.973164112205,16253.595301755913,40541.973164112205,16253.595301755913
0.514,46597.94756754434,18681.482980353416,46597.94756754434,18681.482980353416
0.515,53646.62535380824,21507.35323799111,53646.62535380824,21507.35323799111
0.516,61865.45997120529,24802.34855512786,61865.45997120529,24802.34855512786
