requirement_class,requirement_id,term_definition,occurrence_count,source_id,coverage_status,exact_or_analogous,transferability_status,QM_reference_required,notes
TORSION,TORSION_0019,B|ANNULUS_INTERIOR -- N|ANNULUS_INNER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR,36,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0020,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_INNER_BOUNDARY -- H|ANNULUS_INNER_PASSIVANT_H,36,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0021,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_INNER_BOUNDARY -- N|ANNULUS_INTERIOR,36,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0022,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR -- N|ANNULUS_INNER_BOUNDARY,60,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0023,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR,396,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0024,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY,96,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0025,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY -- H|ANNULUS_OUTER_PASSIVANT_H,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0026,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0027,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_INTERIOR,36,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0028,B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR -- B|ANNULUS_OUTER_BOUNDARY -- N|ANNULUS_OUTER_BOUNDARY,12,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0029,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- H|BRIDGE_PASSIVANT_H,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0030,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ALTERNATING_BN_FOUR_ATOM_BRIDGE -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,24,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0031,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_INTERIOR,36,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0032,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY,36,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0033,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_OUTER_BOUNDARY -- H|ANNULUS_OUTER_PASSIVANT_H,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
TORSION,TORSION_0034,B|ANNULUS_INTERIOR -- N|ANNULUS_OUTER_BOUNDARY -- B|ANNULUS_OUTER_BOUNDARY -- N|ALTERNATING_BN_FOUR_ATOM_BRIDGE,6,,UNASSESSED,,UNASSESSED,UNASSESSED,
