dataset,frame,time_ps,pyrene,cutoff_nm,waterO_count
frozen,86,43.0,1,0.5,27
frozen,86,43.0,2,0.35,4
frozen,86,43.0,2,0.5,25
frozen,86,43.0,3,0.35,6
frozen,86,43.0,3,0.5,30
frozen,86,43.0,4,0.35,7
frozen,86,43.0,4,0.5,27
frozen,87,43.5,1,0.35,4
frozen,87,43.5,1,0.5,25
frozen,87,43.5,2,0.35,4
frozen,87,43.5,2,0.5,27
frozen,87,43.5,3,0.35,5
frozen,87,43.5,3,0.5,30
frozen,87,43.5,4,0.35,5
frozen,87,43.5,4,0.5,22
frozen,88,44.0,1,0.35,5
frozen,88,44.0,1,0.5,23
frozen,88,44.0,2,0.35,4
frozen,88,44.0,2,0.5,24
frozen,88,44.0,3,0.35,4
frozen,88,44.0,3,0.5,29
frozen,88,44.0,4,0.35,4
frozen,88,44.0,4,0.5,24
frozen,89,44.5,1,0.35,6
frozen,89,44.5,1,0.5,27
frozen,89,44.5,2,0.35,3
frozen,89,44.5,2,0.5,25
frozen,89,44.5,3,0.35,3
frozen,89,44.5,3,0.5,27
frozen,89,44.5,4,0.35,8
frozen,89,44.5,4,0.5,24
frozen,90,45.0,1,0.35,3
frozen,90,45.0,1,0.5,26
frozen,90,45.0,2,0.35,5
frozen,90,45.0,2,0.5,24
frozen,90,45.0,3,0.35,6
frozen,90,45.0,3,0.5,26
frozen,90,45.0,4,0.35,8
frozen,90,45.0,4,0.5,26
frozen,91,45.5,1,0.35,4
frozen,91,45.5,1,0.5,26
frozen,91,45.5,2,0.35,3
frozen,91,45.5,2,0.5,22
frozen,91,45.5,3,0.35,6
frozen,91,45.5,3,0.5,29
frozen,91,45.5,4,0.35,3
frozen,91,45.5,4,0.5,22
frozen,92,46.0,1,0.35,5
frozen,92,46.0,1,0.5,30
frozen,92,46.0,2,0.35,4
frozen,92,46.0,2,0.5,26
frozen,92,46.0,3,0.35,4
frozen,92,46.0,3,0.5,28
frozen,92,46.0,4,0.35,5
frozen,92,46.0,4,0.5,26
frozen,93,46.5,1,0.35,5
frozen,93,46.5,1,0.5,33
frozen,93,46.5,2,0.35,4
frozen,93,46.5,2,0.5,24
frozen,93,46.5,3,0.35,4
frozen,93,46.5,3,0.5,25
frozen,93,46.5,4,0.35,7
frozen,93,46.5,4,0.5,28
frozen,94,47.0,1,0.35,6
frozen,94,47.0,1,0.5,27
frozen,94,47.0,2,0.35,5
frozen,94,47.0,2,0.5,23
frozen,94,47.0,3,0.35,3
frozen,94,47.0,3,0.5,24
frozen,94,47.0,4,0.35,9
frozen,94,47.0,4,0.5,29
frozen,95,47.5,1,0.35,4
frozen,95,47.5,1,0.5,29
