frame,site,root,family,is_bright_root,expected_bright_root,mapping_preserved,energy_au,energy_eV,fosc,vacuum_energy_eV_same_root,solvent_shift_meV_same_root,source_output
9,PYR5,1,bright_like,True,1,True,0.137822,3.75,0.62317919,3.78,-29.999999999999805,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR5_embedding/frame009_PYR5_embedding.out
9,PYR5,2,alternate_like,False,1,True,0.141118,3.84,0.01299225,3.846,-6.000000000000227,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame009_PYR5_embedding/frame009_PYR5_embedding.out
10,PYR2,1,alternate_like,False,2,True,0.146916,3.998,0.008701298,4.001,-3.0000000000001137,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR2_embedding/frame010_PYR2_embedding.out
10,PYR2,2,bright_like,True,2,True,0.149913,4.079,0.503064953,4.09,-11.00000000000012,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR2_embedding/frame010_PYR2_embedding.out
10,PYR3,1,alternate_like,False,2,True,0.146854,3.996,0.004807113,4.001,-5.0000000000003375,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR3_embedding/frame010_PYR3_embedding.out
10,PYR3,2,bright_like,True,2,True,0.149399,4.065,0.507950168,4.081,-16.000000000000014,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR3_embedding/frame010_PYR3_embedding.out
10,PYR4,1,alternate_like,False,2,True,0.147729,4.02,0.013226282,4.015,4.999999999999893,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR4_embedding/frame010_PYR4_embedding.out
10,PYR4,2,bright_like,True,2,True,0.150624,4.099,0.501788253,4.089,9.999999999999787,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR4_embedding/frame010_PYR4_embedding.out
10,PYR5,1,bright_like,True,1,True,0.139305,3.791,0.663968719,3.78,11.00000000000012,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding.out
10,PYR5,2,alternate_like,False,1,True,0.141802,3.859,0.010302342,3.846,12.9999999999999,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame010_PYR5_embedding/frame010_PYR5_embedding.out
11,PYR2,1,alternate_like,False,2,True,0.147286,4.008,0.014138215,4.001,6.999999999999673,runs/phase1A/day016_md_bath_extraction/orca_embedding_pilot_inputs/frame011_PYR2_embedding/frame011_PYR2_embedding.out
