atom_id_i,atom_id_j,type_i,type_j,distance_A
2663,2951,2,1,3.389800000000008
14032,14320,2,1,3.389799999999994
12705,12993,1,2,3.3898999999999972
6551,6839,1,2,3.389800000000001
16272,16560,1,2,3.389799999999994
10723,11011,2,1,3.389900000000001
14611,14899,1,2,3.3898999999999972
5174,5462,2,1,3.389800000000001
1865,2153,2,1,3.389800000000008
13234,13522,2,1,3.389800000000001
5753,6041,1,2,3.389800000000001
7685,7973,1,2,3.3898200000000003
9925,10213,2,1,3.389900000000001
11857,12145,2,1,3.389800000000001
488,776,1,2,3.3899000000000115
15745,16033,1,2,3.3899000000000115
4376,4664,1,2,3.389800000000001
8548,8836,1,2,3.38982
12436,12724,1,2,3.389800000000001
1067,1355,2,1,3.389799999999994
2999,3287,2,1,3.389799999999994
6887,7175,1,2,3.3897999999999975
11059,11347,2,1,3.389800000000001
3578,3866,1,2,3.389800000000001
14947,15235,1,2,3.389799999999994
7750,8038,1,2,3.3898200000000003
12965,13253,2,1,3.389800000000001
2201,2489,2,1,3.389799999999994
15810,16098,1,2,3.3899000000000115
6089,6377,2,1,3.389900000000001
10261,10549,2,1,3.3897999999999975
14149,14437,2,1,3.389800000000008
8279,8567,1,2,3.3898399999999995
4712,5000,1,2,3.389800000000001
