component_index,n_atoms,n_edges,is_tree,n_B,n_N,n_degree_1,n_degree_2,n_degree_other,minimum_atom_id,maximum_atom_id,center_x_A,center_y_A,center_z_A,center_r_A,center_phi_rad,minimum_z_A,maximum_z_A,z_span_A
123,60,59,True,30,30,2,58,0,123,17115,-29.641699999999965,-81.43999999999998,5.447494307494102e-15,86.66662551922738,-1.9198617881755837,-100.0,100.0,200.0
124,60,59,True,30,30,2,58,0,124,17116,-22.431000000000022,-83.71360000000003,5.447494307494102e-15,86.6666982523276,-1.83259580915627,-100.0,100.0,200.0
125,60,59,True,30,30,2,58,0,125,17117,-15.049499999999991,-85.35000000000004,5.447494307494102e-15,86.66665996939079,-1.7453291633222232,-100.0,100.0,200.0
126,60,59,True,30,30,2,58,0,126,17118,-7.553499999999989,-86.33689999999997,5.447494307494102e-15,86.66669293252163,-1.6580627894639097,-100.0,100.0,200.0
127,60,59,True,30,30,2,58,0,127,17119,0.0,-86.66670000000003,5.447494307494102e-15,86.66670000000003,-1.5707963267948966,-100.0,100.0,200.0
128,60,59,True,30,30,2,58,0,128,17120,7.553499999999989,-86.33689999999997,5.447494307494102e-15,86.66669293252163,-1.4835298641258836,-100.0,100.0,200.0
129,60,59,True,30,30,2,58,0,129,17121,15.049499999999991,-85.35000000000004,5.447494307494102e-15,86.66665996939079,-1.3962634902675701,-100.0,100.0,200.0
130,60,59,True,30,30,2,58,0,130,17122,22.431000000000022,-83.71360000000003,5.447494307494102e-15,86.6666982523276,-1.3089968444335234,-100.0,100.0,200.0
131,60,59,True,30,30,2,58,0,131,17123,29.641699999999965,-81.43999999999998,5.447494307494102e-15,86.66662551922738,-1.2217308654142096,-100.0,100.0,200.0
132,60,59,True,30,30,2,58,0,132,17124,36.6269,-78.54669999999994,5.447494307494102e-15,86.66668266698565,-1.1344643038092088,-100.0,100.0,200.0
133,60,59,True,30,30,2,58,0,133,17125,43.33329999999996,-75.05549999999998,5.447494307494102e-15,86.66661969374364,-1.0471976823911435,-100.0,100.0,200.0
134,60,59,True,30,30,2,58,0,134,17126,49.71000000000003,-70.99319999999992,5.447494307494102e-15,86.66670956163036,-0.9599308409764411,-100.0,100.0,200.0
135,60,59,True,30,30,2,58,0,135,17127,55.708299999999916,-66.39049999999999,5.447494307494102e-15,86.66667859760169,-0.8726641315774938,-100.0,100.0,200.0
136,60,59,True,30,30,2,58,0,136,17128,61.2826,-61.2826,5.447494307494102e-15,86.66668405748544,-0.7853981633974483,-100.0,100.0,200.0
137,60,59,True,30,30,2,58,0,137,17129,66.39049999999999,-55.708299999999916,5.447494307494102e-15,86.66667859760169,-0.6981321952174028,-100.0,100.0,200.0
138,60,59,True,30,30,2,58,0,138,17130,70.99319999999992,-49.71000000000003,5.447494307494102e-15,86.66670956163036,-0.6108654858184555,-100.0,100.0,200.0
139,60,59,True,30,30,2,58,0,139,17131,75.05549999999998,-43.33329999999996,5.447494307494102e-15,86.66661969374364,-0.523598644403753,-100.0,100.0,200.0
140,60,59,True,30,30,2,58,0,140,17132,78.54669999999994,-36.6269,5.447494307494102e-15,86.66668266698565,-0.43633202298568785,-100.0,100.0,200.0
141,60,59,True,30,30,2,58,0,141,17133,81.43999999999998,-29.641699999999965,5.447494307494102e-15,86.66662551922738,-0.34906546138068706,-100.0,100.0,200.0
142,60,59,True,30,30,2,58,0,142,17134,83.71360000000003,-22.431000000000022,5.447494307494102e-15,86.6666982523276,-0.2617994823613733,-100.0,100.0,200.0
143,60,59,True,30,30,2,58,0,143,17135,85.35000000000004,-15.049499999999991,5.447494307494102e-15,86.6666599693908,-0.17453283652732654,-100.0,100.0,200.0
144,60,59,True,30,30,2,58,0,144,17136,86.33689999999997,-7.553499999999989,5.447494307494102e-15,86.66669293252163,-0.08726646266901303,-100.0,100.0,200.0
