component_index,atom_id,atom_type,element,degree,x_A,y_A,z_A
6,16422,1,B,2,63.4415,29.5833,93.2203
6,16710,2,N,2,63.4415,29.5833,96.6102
6,16998,1,B,1,63.4415,29.5833,100.0
7,7,1,B,1,60.6218,35.0,-100.0
7,295,2,N,2,60.6218,35.0,-96.6102
7,583,1,B,2,60.6218,35.0,-93.2203
7,871,2,N,2,60.6218,35.0,-89.8305
7,1159,1,B,2,60.6218,35.0,-86.4407
7,1447,2,N,2,60.6218,35.0,-83.0508
7,1735,1,B,2,60.6218,35.0,-79.661
7,2023,2,N,2,60.6218,35.0,-76.2712
7,2311,1,B,2,60.6218,35.0,-72.8814
7,2599,2,N,2,60.6218,35.0,-69.4915
7,2887,1,B,2,60.6218,35.0,-66.1017
7,3175,2,N,2,60.6218,35.0,-62.7119
7,3463,1,B,2,60.6218,35.0,-59.322
7,3751,2,N,2,60.6218,35.0,-55.9322
7,4039,1,B,2,60.6218,35.0,-52.5424
7,4327,2,N,2,60.6218,35.0,-49.1525
7,4615,1,B,2,60.6218,35.0,-45.7627
7,4903,2,N,2,60.6218,35.0,-42.3729
7,5191,1,B,2,60.6218,35.0,-38.9831
7,5479,2,N,2,60.6218,35.0,-35.5932
7,5767,1,B,2,60.6218,35.0,-32.2034
7,6055,2,N,2,60.6218,35.0,-28.8136
7,6343,1,B,2,60.6218,35.0,-25.4237
7,6631,2,N,2,60.6218,35.0,-22.0339
7,6919,1,B,2,60.6218,35.0,-18.6441
7,7207,2,N,2,60.6218,35.0,-15.2542
7,7495,1,B,2,60.6218,35.0,-11.8644
7,7783,2,N,2,60.6218,35.0,-8.47458
7,8071,1,B,2,60.6218,35.0,-5.08475
7,8359,2,N,2,60.6218,35.0,-1.69491
7,8647,1,B,2,60.6218,35.0,1.69491
7,8935,2,N,2,60.6218,35.0,5.08475
7,9223,1,B,2,60.6218,35.0,8.47458
7,9511,2,N,2,60.6218,35.0,11.8644
7,9799,1,B,2,60.6218,35.0,15.2542
7,10087,2,N,2,60.6218,35.0,18.6441
7,10375,1,B,2,60.6218,35.0,22.0339
7,10663,2,N,2,60.6218,35.0,25.4237
7,10951,1,B,2,60.6218,35.0,28.8136
7,11239,2,N,2,60.6218,35.0,32.2034
7,11527,1,B,2,60.6218,35.0,35.5932
7,11815,2,N,2,60.6218,35.0,38.9831
7,12103,1,B,2,60.6218,35.0,42.3729
7,12391,2,N,2,60.6218,35.0,45.7627
7,12679,1,B,2,60.6218,35.0,49.1525
7,12967,2,N,2,60.6218,35.0,52.5424
7,13255,1,B,2,60.6218,35.0,55.9322
7,13543,2,N,2,60.6218,35.0,59.322
7,13831,1,B,2,60.6218,35.0,62.7119
7,14119,2,N,2,60.6218,35.0,66.1017
7,14407,1,B,2,60.6218,35.0,69.4915
7,14695,2,N,2,60.6218,35.0,72.8814
7,14983,1,B,2,60.6218,35.0,76.2712
7,15271,2,N,2,60.6218,35.0,79.661
7,15559,1,B,2,60.6218,35.0,83.0508
7,15847,2,N,2,60.6218,35.0,86.4407
7,16135,1,B,2,60.6218,35.0,89.8305
7,16423,2,N,2,60.6218,35.0,93.2203
7,16711,1,B,2,60.6218,35.0,96.6102
7,16999,2,N,1,60.6218,35.0,100.0
8,8,2,N,1,57.3406,40.1504,-100.0
8,296,1,B,2,57.3406,40.1504,-96.6102
8,584,2,N,2,57.3406,40.1504,-93.2203
8,872,1,B,2,57.3406,40.1504,-89.8305
8,1160,2,N,2,57.3406,40.1504,-86.4407
8,1448,1,B,2,57.3406,40.1504,-83.0508
8,1736,2,N,2,57.3406,40.1504,-79.661
8,2024,1,B,2,57.3406,40.1504,-76.2712
8,2312,2,N,2,57.3406,40.1504,-72.8814
8,2600,1,B,2,57.3406,40.1504,-69.4915
8,2888,2,N,2,57.3406,40.1504,-66.1017
8,3176,1,B,2,57.3406,40.1504,-62.7119
8,3464,2,N,2,57.3406,40.1504,-59.322
8,3752,1,B,2,57.3406,40.1504,-55.9322
8,4040,2,N,2,57.3406,40.1504,-52.5424
8,4328,1,B,2,57.3406,40.1504,-49.1525
8,4616,2,N,2,57.3406,40.1504,-45.7627
8,4904,1,B,2,57.3406,40.1504,-42.3729
8,5192,2,N,2,57.3406,40.1504,-38.9831
8,5480,1,B,2,57.3406,40.1504,-35.5932
8,5768,2,N,2,57.3406,40.1504,-32.2034
8,6056,1,B,2,57.3406,40.1504,-28.8136
8,6344,2,N,2,57.3406,40.1504,-25.4237
8,6632,1,B,2,57.3406,40.1504,-22.0339
8,6920,2,N,2,57.3406,40.1504,-18.6441
8,7208,1,B,2,57.3406,40.1504,-15.2542
8,7496,2,N,2,57.3406,40.1504,-11.8644
8,7784,1,B,2,57.3406,40.1504,-8.47458
8,8072,2,N,2,57.3406,40.1504,-5.08475
8,8360,1,B,2,57.3406,40.1504,-1.69491
8,8648,2,N,2,57.3406,40.1504,1.69491
8,8936,1,B,2,57.3406,40.1504,5.08475
8,9224,2,N,2,57.3406,40.1504,8.47458
8,9512,1,B,2,57.3406,40.1504,11.8644
8,9800,2,N,2,57.3406,40.1504,15.2542
8,10088,1,B,2,57.3406,40.1504,18.6441
8,10376,2,N,2,57.3406,40.1504,22.0339
8,10664,1,B,2,57.3406,40.1504,25.4237
8,10952,2,N,2,57.3406,40.1504,28.8136
8,11240,1,B,2,57.3406,40.1504,32.2034
8,11528,2,N,2,57.3406,40.1504,35.5932
8,11816,1,B,2,57.3406,40.1504,38.9831
8,12104,2,N,2,57.3406,40.1504,42.3729
8,12392,1,B,2,57.3406,40.1504,45.7627
8,12680,2,N,2,57.3406,40.1504,49.1525
8,12968,1,B,2,57.3406,40.1504,52.5424
8,13256,2,N,2,57.3406,40.1504,55.9322
8,13544,1,B,2,57.3406,40.1504,59.322
8,13832,2,N,2,57.3406,40.1504,62.7119
8,14120,1,B,2,57.3406,40.1504,66.1017
8,14408,2,N,2,57.3406,40.1504,69.4915
8,14696,1,B,2,57.3406,40.1504,72.8814
8,14984,2,N,2,57.3406,40.1504,76.2712
8,15272,1,B,2,57.3406,40.1504,79.661
8,15560,2,N,2,57.3406,40.1504,83.0508
8,15848,1,B,2,57.3406,40.1504,86.4407
8,16136,2,N,2,57.3406,40.1504,89.8305
8,16424,1,B,2,57.3406,40.1504,93.2203
8,16712,2,N,2,57.3406,40.1504,96.6102
8,17000,1,B,1,57.3406,40.1504,100.0
9,9,1,B,1,53.6231,44.9951,-100.0
9,297,2,N,2,53.6231,44.9951,-96.6102
9,585,1,B,2,53.6231,44.9951,-93.2203
9,873,2,N,2,53.6231,44.9951,-89.8305
9,1161,1,B,2,53.6231,44.9951,-86.4407
9,1449,2,N,2,53.6231,44.9951,-83.0508
9,1737,1,B,2,53.6231,44.9951,-79.661
9,2025,2,N,2,53.6231,44.9951,-76.2712
9,2313,1,B,2,53.6231,44.9951,-72.8814
9,2601,2,N,2,53.6231,44.9951,-69.4915
9,2889,1,B,2,53.6231,44.9951,-66.1017
9,3177,2,N,2,53.6231,44.9951,-62.7119
9,3465,1,B,2,53.6231,44.9951,-59.322
9,3753,2,N,2,53.6231,44.9951,-55.9322
9,4041,1,B,2,53.6231,44.9951,-52.5424
9,4329,2,N,2,53.6231,44.9951,-49.1525
9,4617,1,B,2,53.6231,44.9951,-45.7627
9,4905,2,N,2,53.6231,44.9951,-42.3729
9,5193,1,B,2,53.6231,44.9951,-38.9831
9,5481,2,N,2,53.6231,44.9951,-35.5932
9,5769,1,B,2,53.6231,44.9951,-32.2034
9,6057,2,N,2,53.6231,44.9951,-28.8136
9,6345,1,B,2,53.6231,44.9951,-25.4237
9,6633,2,N,2,53.6231,44.9951,-22.0339
9,6921,1,B,2,53.6231,44.9951,-18.6441
9,7209,2,N,2,53.6231,44.9951,-15.2542
9,7497,1,B,2,53.6231,44.9951,-11.8644
9,7785,2,N,2,53.6231,44.9951,-8.47458
9,8073,1,B,2,53.6231,44.9951,-5.08475
9,8361,2,N,2,53.6231,44.9951,-1.69491
9,8649,1,B,2,53.6231,44.9951,1.69491
9,8937,2,N,2,53.6231,44.9951,5.08475
9,9225,1,B,2,53.6231,44.9951,8.47458
9,9513,2,N,2,53.6231,44.9951,11.8644
9,9801,1,B,2,53.6231,44.9951,15.2542
9,10089,2,N,2,53.6231,44.9951,18.6441
9,10377,1,B,2,53.6231,44.9951,22.0339
9,10665,2,N,2,53.6231,44.9951,25.4237
9,10953,1,B,2,53.6231,44.9951,28.8136
9,11241,2,N,2,53.6231,44.9951,32.2034
9,11529,1,B,2,53.6231,44.9951,35.5932
9,11817,2,N,2,53.6231,44.9951,38.9831
9,12105,1,B,2,53.6231,44.9951,42.3729
9,12393,2,N,2,53.6231,44.9951,45.7627
9,12681,1,B,2,53.6231,44.9951,49.1525
9,12969,2,N,2,53.6231,44.9951,52.5424
9,13257,1,B,2,53.6231,44.9951,55.9322
9,13545,2,N,2,53.6231,44.9951,59.322
9,13833,1,B,2,53.6231,44.9951,62.7119
9,14121,2,N,2,53.6231,44.9951,66.1017
9,14409,1,B,2,53.6231,44.9951,69.4915
