offset_from_cap_plane_nm,lower_centerline_energy_kJ_mol,lower_centerline_energy_kBT,upper_centerline_energy_kJ_mol,upper_centerline_energy_kBT
-0.376,2.0654884095322737e-05,8.280705177596704e-06,2.0654884095322785e-05,8.280705177596723e-06
-0.374,2.107224382086962e-05,8.448027967901735e-06,2.107224382086985e-05,8.448027967901828e-06
-0.372,2.149736612801898e-05,8.61846283810857e-06,2.1497366128019122e-05,8.618462838108628e-06
-0.37,2.193036628199655e-05,8.792055998951056e-06,2.19303662819967e-05,8.792055998951115e-06
-0.368,2.2371360129433964e-05,8.968853894253224e-06,2.2371360129434015e-05,8.968853894253245e-06
-0.366,2.282046405366763e-05,9.148903183008266e-06,2.2820464053667887e-05,9.14890318300837e-06
-0.364,2.3277794927874222e-05,9.332250720590185e-06,2.3277794927874368e-05,9.332250720590244e-06
-0.362,2.3743470065992075e-05,9.518943539077787e-06,2.374347006599223e-05,9.51894353907785e-06
-0.36,2.4217607171384885e-05,9.70902882667357e-06,2.4217607171384926e-05,9.709028826673587e-06
-0.358,2.4700324283197677e-05,9.902553906197394e-06,2.470032428319795e-05,9.902553906197505e-06
-0.356,2.5191739720362895e-05,1.00995662126381e-05,2.519173972036306e-05,1.0099566212638166e-05
-0.354,2.5691972023207833e-05,1.0300113269743457e-05,2.5691972023208002e-05,1.0300113269743524e-05
-0.352,2.6201139892623017e-05,1.0504242665632293e-05,2.6201139892623068e-05,1.0504242665632314e-05
-0.35,2.6719362126744535e-05,1.0712002027409953e-05,2.6719362126744823e-05,1.0712002027410068e-05
-0.348,2.7246757555111855e-05,1.0923438994771636e-05,2.7246757555112038e-05,1.0923438994771709e-05
-0.346,2.7783444970256698e-05,1.1138601192575847e-05,2.778344497025688e-05,1.1138601192575922e-05
-0.344,2.8329543056686753e-05,1.1357536202373411e-05,2.8329543056686807e-05,1.1357536202373433e-05
-0.34199999999999997,2.888517031722268e-05,1.1580291532875392e-05,2.8885170317222997e-05,1.1580291532875519e-05
-0.33999999999999997,2.9450444996655373e-05,1.1806914589346699e-05,2.945044499665557e-05,1.1806914589346777e-05
-0.33799999999999997,3.0025485002684896e-05,1.2037452641909879e-05,3.0025485002685092e-05,1.2037452641909958e-05
-0.33599999999999997,3.0610407824111965e-05,1.2271952792747443e-05,3.0610407824112005e-05,1.227195279274746e-05
-0.33399999999999996,3.120533044624693e-05,1.2510461942188662e-05,3.120533044624725e-05,1.2510461942188793e-05
-0.33199999999999996,3.181036926351169e-05,1.2753026753670991e-05,3.1810369263511894e-05,1.2753026753671073e-05
-0.32999999999999996,3.242563998920343e-05,1.2999693617563634e-05,3.2425639989203636e-05,1.2999693617563717e-05
-0.32799999999999996,3.305125756240059e-05,1.3250508613845426e-05,3.305125756240067e-05,1.3250508613845456e-05
-0.32599999999999996,3.368733605198515e-05,1.350551747362661e-05,3.3687336051985506e-05,1.3505517473626751e-05
-0.32399999999999995,3.4333988557766745e-05,1.3764765539508716e-05,3.433398855776696e-05,1.3764765539508803e-05
-0.32199999999999995,3.4991327108688475e-05,1.4028297724774481e-05,3.499132710868869e-05,1.4028297724774567e-05
-0.31999999999999995,3.565946255810603e-05,1.4296158471404412e-05,3.56594625581061e-05,1.4296158471404442e-05
-0.31799999999999995,3.633850447612612e-05,1.4568391706914433e-05,3.6338504476126485e-05,1.4568391706914578e-05
-0.31599999999999995,3.7028561039002845e-05,1.4845040800014008e-05,3.702856103900309e-05,1.4845040800014106e-05
-0.31399999999999995,3.77297389155848e-05,1.5126148515081906e-05,3.772973891558505e-05,1.5126148515082006e-05
-0.31199999999999994,3.844214315081888e-05,1.5411756965461957e-05,3.844214315081897e-05,1.5411756965461994e-05
-0.31,3.9165877046311595e-05,1.570190756557914e-05,3.9165877046312015e-05,1.570190756557931e-05
-0.308,3.9901042037961846e-05,1.5996640981881614e-05,3.990104203796218e-05,1.5996640981881746e-05
-0.306,4.064773757067454e-05,1.6295997082612407e-05,4.0647737570674796e-05,1.6295997082612512e-05
-0.304,4.140606097017679e-05,1.6600014886419548e-05,4.1406060970176956e-05,1.6600014886419612e-05
-0.302,4.2176107311957786e-05,1.6908732509813e-05,4.2176107311958206e-05,1.690873250981317e-05
-0.3,4.2957969287360616e-05,1.7222187113479854e-05,4.295796928736094e-05,1.7222187113479986e-05
-0.298,4.375173706685915e-05,1.7540414847470935e-05,4.375173706685944e-05,1.754041484747105e-05
-0.296,4.455749816055785e-05,1.7863450795274087e-05,4.4557498160558046e-05,1.7863450795274165e-05
-0.294,4.537533727595793e-05,1.819132891679151e-05,4.537533727595838e-05,1.819132891679169e-05
-0.292,4.6205336173039495e-05,1.852408199024106e-05,4.620533617303985e-05,1.8524081990241203e-05
-0.29,4.704757351671405e-05,1.886174155300329e-05,4.7047573516714336e-05,1.8861741553003405e-05
